*.csv - набор факторов, на котором тестировалось
L - объем выборки для обучения
T - объем выборки для тестирования

x: P R F1 A E
x - определяемое число
P - Предсказание
R - Полнота
F1 - метрика F1
A - Точность
E - Ошибочные


factors_true_all.csv
8: 0.689594 0.805355 0.742993 0.9459 0.0541
9: 0.627959 0.843088 0.719793 0.93495 0.06505

L = 20000 T = 20000
0: 0.997122 0.691617 0.816735 0.9689 0.0311
1: 0.930641 0.965831 0.94791 0.98835 0.01165
2: 0.767028 0.892929 0.825204 0.96255 0.03745
3: 0.84532 0.826988 0.836054 0.96635 0.03365
4: 0.899603 0.844965 0.871429 0.9766 0.0234
5: 0.959497 0.373167 0.537348 0.94085 0.05915
6: 0.800087 0.94848 0.867987 0.972 0.028
7: 0.944586 0.871891 0.906784 0.9809 0.0191
8: 0.936402 0.567732 0.706886 0.9536 0.0464
9: 0.654753 0.886284 0.753126 0.94175 0.05825
